OTU ID	RS10	RS11	RS12	RS13	RS14	RS15	RS16	RS17	RS18	RS19	RS1	RS20	RS21	RS22	RS23	RS24	RS2	RS3	RS4	RS5	RS6	RS7	RS8	RS9
OTU1	20481	6128	32902	16752	12080	10279	23832	13707	5645	38	3071	14	46	36	17	14	16212	2768	15722	13321	14173	135	7613	18
OTU12	3519	5	4	9	0	3	1	4	16	2	5	1	0	10	104	84	3325	0	4	0	0	3	6	3
OTU2	2673	18485	2619	4224	347	886	7365	3631	5363	13	17203	14	6	2	1	1	1565	20073	1133	1183	1113	8626	8478	8974
OTU3	2292	353	2500	3343	7304	5413	1727	6022	4715	9	10	0	4	3	7	3	2217	22	9879	33	33	82	13693	0
OTU4	262	532	333	53	4115	2646	614	799	13743	22	18	13	9	12	15	17	2	22	4886	7555	8121	401	41	2272
OTU5	3	2	1	4	3	4	0	13	1	6637	4	7045	5576	4786	8294	9198	6	6	1	4	8	456	0	1
OTU15	93	5	5	1227	226	383	3	32	1	0	1812	0	0	0	0	0	29	1746	558	350	327	0	0	0
OTU53	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0
OTU80	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	2	0	8	15	0	0	0
OTU9	2	2	0	0	0	0	0	0	0	5357	5	5329	154	378	39	38	1	1	0	0	0	9	0	0
OTU11	1	0	0	3	1	1	0	1	0	190	0	177	223	1710	2992	3299	0	2	4	3	3	12	1	13
OTU26	3	13	12	227	19	40	31	105	26	0	6	3	2	3	9	11	4	0	34	2	5	18	39	25
OTU7	5	15	2	0	0	9	2	0	0	10376	76	10187	3729	28	20	31	11	22	0	0	6	37	14	309
OTU31	9	0	0	15	67	10	0	0	0	0	0	0	0	0	0	0	14	0	45	0	0	0	0	0
OTU8	3	1	4	3	0	0	0	0	0	1369	2	1556	4416	7020	599	654	1	7	13	0	0	37	1	0
OTU115	2	0	0	0	0	1	0	1	7	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0
OTU27	9	26	0	0	0	0	11	6	134	0	163	0	0	0	0	0	8	155	2	4	2	11	11	39
OTU6	5	1	1	262	161	160	1462	8800	1770	4	0	3	11	2891	5114	4617	6	0	221	129	103	1275	3893	5307
OTU78	2	0	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0
OTU88	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU132	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0
OTU92	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0
OTU124	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU99	0	1	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU96	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU43	0	8	0	0	0	0	1	0	15	0	0	0	0	0	0	0	0	0	0	6	3	0	7	9
OTU75	0	2	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	4	0	0	1	1	1	7
OTU17	0	1	0	21	1	0	0	0	0	796	1	789	328	1753	820	937	1	0	0	1	0	0	0	0
OTU30	0	4	3	6	2	0	0	0	0	25	2	31	11573	2918	2928	3225	0	10	0	5	3	0	0	8
OTU68	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU39	0	3	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	2	0	0	29	0	6
OTU47	0	7	0	19	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
OTU66	0	0	3	0	0	0	0	0	0	0	0	4	3408	3	1	1	0	4	0	0	2	177	0	0
OTU105	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU22	0	0	1	0	0	0	0	0	0	947	0	877	243	9	41	34	0	0	0	0	0	0	0	0
OTU114	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	12	0	0	0	0	0	0
OTU18	0	0	1	0	0	2	0	3	2	202	12	264	130	1208	855	875	0	5	2	0	8	26	4	10
OTU56	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU72	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU84	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU76	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU117	0	0	0	0	13	6	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0
OTU10	0	0	0	0	1	1	0	0	0	0	0	0	5	2977	3222	3316	0	0	0	2	1	1	1	2
OTU19	0	0	0	0	2	0	0	0	0	62	21	89	67	160	1182	1098	0	0	0	1	0	12	0	0
OTU14	0	0	0	0	1	1	0	0	0	119	0	105	255	1814	1940	2066	0	8	1	1	1	35	0	0
OTU79	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
OTU108	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3
OTU52	0	0	0	0	0	5	0	0	0	0	1	2	0	15	1	0	2	11	1	0	0	3	0	17
OTU57	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	14
OTU21	0	0	0	0	0	1	0	0	0	0	0	0	0	589	489	410	0	0	1	0	0	0	0	0
OTU82	0	0	0	0	0	1	0	0	0	1	0	0	1	57	37	50	0	0	0	0	0	0	0	0
OTU130	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
OTU16	0	0	0	0	0	1	0	1	0	798	0	721	1315	300	1474	1342	0	30	0	0	1	56	0	0
OTU67	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
OTU128	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU13	0	0	0	0	0	0	3	12	1	0	0	0	0	0	0	0	7	0	2	494	604	5412	0	550
